,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by
0MW3W2W8B7K2F0K0D5ZGLXB9N7,Kid Krrish 2 - Mission Bhutan,"NA, NA, NA","International, Kids",Indra Narayan Datta, All Ages Kids,"The evil scientist, Dr Para heads to Bhutan on a quest to find the power that controls Alien technology. He gets the sundial and then comes across an ancient scroll that holds information about a Rudraksh, that is believed to be the key to Alien Technology. Kid Krrish tries to stop him but soon realises that he is no match for the doctor who has become stronger with his new found powers.",,Toonz Animation India Pvt Ltd,
0SKPK4D565FTWCPCPRA4J5OGZI,Chhota Bheem  - Season 1,"Kaustav Ghosh, Mausam, Rajesh Kava","International, Kids",Rajiv Chilaka, All Ages Kids,"Bheem is an extremely brave, strong and intelligent young boy. All the children in the town are very fond of him, as he always manages to solve everyone's problems.",,,
0KIVFN0HK2IF6TIQ1A06QUQECW,Mighty Raju Light of Astrome,"Julie Tejwani (Voice), Sabina Malik (Voice), Jigna Bharadwaj (Voice)","International, Kids",Asit Mahapatra, All Ages Kids,"When Gopi discovers a mystical box fallen from space, a light enters into him, making him the â€˜Light of Astrome’. Meanwhile, its prince, Zulu and MR team up to defeat Gorthians, who want that light to build an arsenal.",,,
0H7I5OEYPMQMBOV41TF68PM5WW,Mighty Khiladi Raju,,"International, Kids","Rajiv Chilka, Rosauro B Adorable", All Ages Kids,"Aryanagar is hosting an inter-school sports competition. Raju and gang prepare as their rival school has a new super champion. Raju decides to participate sincerely, without the use of any powers. He realises it is indeed difficult to be a normal boy and loses a race to Sid. However, seeing that Raju is not in Mighty mode, Karaati decides to attack him.",,,
0JKSF3DSI09T5GTFVLN2H2ZJF2,Mighty Raju Ka Samudri Adventure,"Julie Tejwani (Voice), Sabina Malik (Voice), Jigna Bharadwaj (Voice)","Kids, International",Shyamal, All Ages Kids,"Raju is on cruise with friends where two dorky criminals are also on board who land the ship in trouble, risking everyone's life. MR stops the colliding ship with his mighty strength and motivation.",,,
0H7I31OG9PO2NXZEGM5KI7RJJP,3 Villains,,"Kids, International",Rajiv Chilaka, All Ages Kids,"The kids discuss their vacations on reuniting after a long break. In class, they are informed about an inter-school dance competition in Mahanagar. Meanwhile in Mahanagar, three most wanted criminals Bijli, Chattan and Dhamaka have escaped. The Army General seeks help from superhero Mighty Raju.",,,
0PYXNRUKMRT3R17ZGJDFFEWR3B,Chhota Bheem And Sky Dragon,,"International, Kids",Binayak Das, All Ages Kids,"The kids in Dholakpur are enjoying cool lemonades in the summer heat as an elder tells them the story of the Sky Dragon. Sky Dragon had the ability to create wonderful things like the wind and the clouds etc. Further, the dragon wins the competition of the best creation. This is not acceptable to the evil Hezark and he leaves, vowing to return.",,,
0LPHBKXF7U4ACSREI1B0DBSU1X,Chhota Bheem Master of Shaolin,,"Kids, International",Rajiv Chilaka, All Ages Kids,"Bheem and his friends accompany Ming, a monk, to the Shaolin temple to fight against a dangerous Kaifu who wants to take control of the Shaolin temple.",,,
0MJBHNKVR6WBBMFPKEHA0ROD9A,Chhota Bheem aur Hanuman,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Makhichoos, who hates Diwali, and the evil witch release a demon with the intention of teaching Bheem a lesson and building a kingdom. After they kidnap Indumati, Hanuman joins Bheem to help save her.",,,
0N0DCDK2H09Z88T0J3KV2SZ07Q,Kid Krrish 4 - Shakalaka Africa,"NA, NA, NA","International, Kids",Deepak Nair, All Ages Kids,"An alien Gozonian tribe is determined to rule the entire universe. They have created a unique and powerful weapon by which they can take control the universe. However, a rare blue diamond is the last piece to fully function the weapon, which is deep buried in the South Africa's lion crown mountain. Krrish battles the evil influence of the Gozonian tribes and defends planet Earth from annihilation.",,Toonz Animation India Pvt Ltd,
0OWKJKVBB1CILJ8P7M4S7XVFVP,The Rise Of Kirmada,,"International, Kids",Rajiv Chilaka, All Ages Kids,"About 500 years ago, the five kingdoms around Dholakpur joined together to end Kirmada's rule. Now a mysterious force has brought him back from the dead. With a goblin army at his back, he soon takes the kingdom around Dholakpur under his control.",,,
0NYH911QA58D1O9JP9BOJW4VMZ,Five Little Monkeys Jumping On The Bed and Many More Popular Nursery Rhymes Collection By ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Five Little Monkeys Jumping On The Bed - Part 3 Wheels On The Bus New York City Five Little Monkeys Robot - Part 2 Wheels On The Bus - Part 2 Five Little Monkeys - Part 1 Wheels On The Bus - Part 1 PussyCat, PussyCat Johny Johny Yes Papa The Finger Family Song Ten Little Indians and more...",,,
0H38ZSA9J1VPVMO8XCH6EHXTUK,"Learn/Teach Days of the Week Song, Alphabets, Colors, Numbers Nursery Rhymes for Kids | ChuChu TV",ChuChu and Friends,"International, Kids",ChuChu TV Studios, All Ages Kids,Days of the week Song Bingo Dog Song Blue Color Song Three little kittens went out to eat Numbers Song 1-20 Orange Colors Song Three Little Kittens Went to Rio Let's learn the colours One two buckle my shoe Yellow Color Song and more…,,,
0ND5ZHI4MU982I4VJKKOTYB1XM,Twinkle Twinkle Little Star and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Twinkle Twinkle Little Star Rain Rain Go Away Head, Shoulders, Knees and Toes Five Little Monkeys Wheel On The Bus Baa Baa Black Sheep Incy Wincy Spider Hey Diddle Diddle Old MacDonald Had A Farm Numbers Song - Number Rhymes For Children and more…",,,
0TN2ZQJZH4PKG2XLOH7VQMBF8K,Johny Johny Yes Papa Nursery Rhymes Collection | All Johny Johny Yes Papa Kids Songs | ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,Johny Johny Yes Papa Part 4 Johny Johny Yes Papa Part 1 Johny Johny Yes Papa Part 2 Johny Johny Yes Papa Part 3 Old Mac Donald Had A Farm Five Little Monkeys Jumping On The Bed - Robot Monkeys Three Little Kittens Play In The Park Wheels On The Bus - Wild Animals The Finger Family Song and more videos.,,,
0SC70GFE35LLQII1C6N6NJUP1F,Five Little Ducks and Many More Numbers Songs | Number Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,Five Little Ducks Number Rhyme One Two Buckle My Shoe Number Rhyme 123 Numbers Song Five Little Monkeys Number Rhyme Ten In The Bed Number Rhyme Johny Johny Yes Papa Old MacDonald Had A Farm Here We Go Round The Mulberry Bush Little Bo Peep Has Lost Her Sheep Chubby Cheeks Rhyme and more videos.,,,
0KAC8DGJ7VJLWRCRZ8ZNC3L5RP,Humpty Dumpty Sat On A Wall and Many More Nursery Rhymes for Children | Kids Songs by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Humpty Dumpty Sat On A Wall Head, Shoulders, Knees and Toes - Exercise Song Hot Cross Buns Five Little Monkeys Robot - Part 2 Wheels On The Bus New York City 123 Numbers Song Ten In The Bed Row Row Row Your Boat Twinkle Twinkle Little Star If You're Happy And You Know It and more videos.",,,
0JXJVF8XT66X88FFST53TGTKON,Johny Johny Yes Papa PART 5 and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"International, Kids",ChuChu TV Studios, All Ages Kids,Johny Johny Yes Papa - Part 5 Ringa Ringa Roses Humpty Dumpty Johny Johny Yes Papa - Part 4 Brush Your Teeth Twinkle Twinkle Little Star Five Little Ducks Johny Johny Yes Papa - Part 2 Old Mac Donald Had A Farm Baa Baa Black Sheep and more videos.,,,
0HKASYXY702QH5SI6JYPBJ39XU,Baa Baa Black Sheep and Many More Kids Songs | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Baa Baa Black Sheep Nursery Rhyme Christmas song Nursery Rhyme If You're Happy And You Know It Nursery Rhyme Five Little Monkeys Jumping On The Bed Nursery Rhyme Head, Shoulders, Knees & Toes - Exercise Song Rain, Rain, Go Away Johny Johny Yes Papa NEW Phonics Song Five Little Ducks Wheels On The Bus Go Round and Round Part2 and more...",,,
0HG2A6TOTSKOBEACSI3JYB92SL,Favourite Nursery Rhymes,"Simon Davies, Simon Davies, Simon Davies",Kids,"Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben, Neil Ben", All Ages Kids,Favourite Nursery Rhymes,,Signature Entertainment,
0SC6WVIV502XL36GNOR1GK9W8C,Poetry Pie - Season 1,,Kids,Paul Shuttleworth, All Ages Kids,"A fun series for young children which brings poetry vividly to life, with a cast of animated creatures who act, dance and sing in a magical world.",,,
0FSCO4PBJWP4596DGK5D11XS4Q,Krishna Balram Season 01,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Follow through the thrilling capers and chilling escapades of Krishna and Balram, with Radha, and friends in this all-new, action packed, adrenaline-churning series. The biggest draw for the series is that the stories in it, are true to the time and varied adventures, are in fact, totally novel - riveting, with imaginative plots and ?ctional characterization.",,,
0J7YUM3GG1IO1YMC6U2804D4ND,Krishna - Kans Vadh,,"International, Kids",Rajiv Chilakalapudi, All Ages Kids,"Krishna's miraculous deeds soon reach the court of Kansa. He soon devises a sinister plan to finish Krishna and invites him to Mathura. Krishna and Balram accept the invitation and travel to Mathura. After entering Kansa's arena they kill Chanur and Mustik, the wrestlers, and eventually kill the evil Kansa himself.",,,
0TEJS6EY2162AZFK07KO0UOMYX,Chhota Bheem In The Incan Adventure,,"Kids, International",Rajiv Chilaka, All Ages Kids,King Indravarma is returning from Botakpur when suddenly a huge bird swoops to their caravan and kidnaps Princess Indumati. The army has scoured all neighbouring kingdoms but there is no trace of the Princess. The only thing Bheem finds are these strange bird-feathers. Professor Dhoomketu informs them that these are Quetzal feathers from the land of the Incans.,,,
0FO39RKO9OLBRXFT6VK58YY69Q,Krishna - The Birth,,"Kids, International",Rajiv Chilakalapudi, All Ages Kids,Krishna - The Birth is the enchanting tale of the miraculous birth of Lord Vishnu in the form of baby Krishna to Vasudev and Devaki. The story is set in an era when the human race was overburdened by the demonic forces of different kings posing themselves as the royal order.,,,
0OSCIB4NY6WH7INQU6FAZ9POJ9,Chhota Bheem Singapura Ka Rahasya,,"International, Kids",Shyamal, All Ages Kids,"Bheem and team visit Singapura and gift the princess a necklace that the evil minister steals to rule the kingdom. After many adventures, they learn the legend of Singapura and Bheem lives up to it.",,,
0Q7GK7RHSM0G1N78K56PZM2RE9,Chhota Bheem Ki Baazi,,"International, Kids","Owell Mina, Rajiv Chilaka", All Ages Kids,"Bheem and his friends have been leading an idyllic life without any villains to fight. Suddenly King Indraverma receives dubious reports about the annexation of the neighboring kingdoms of Gyanpur and Pehelwanpur. The following day, raptor-like birds suddenly attack the palace and a beautiful lady in Grecian attire is found injured.",,,
0TZV1N1CFN2VLH0IWSNXNZVS3S,Chhota Bheem Krishna vs Zimbara,,"Kids, International",Rajiv Chilaka, All Ages Kids,"The demon Kirmada is trapped in Atraksh - the world of darkness, due to Bheem and Krishna. Kirmada’s brother, Zimbara, is determined to free him and establish his rule.",,,
0KIUSMA7MVT1SOMB4DKTUZBHOO,Chhota Bheem and Ganesh in the Amazing Odyssey,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Accompanied by Lord Ganesha, Chhota Bheem utilizes his supernatural strength to save Dholakpur from evil and jeopardy.",,,
0G551NP3O8MG7W5U03603F4YYV,Mayanagari,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Kirmada's demoness sister Maayandri appears and tries to resurrect Kirmada. Meanwhile Bheem and gang are visiting Krishna in Dwaraka. At the time of parting, Krishna gives each of the kids something as a memoir for their time in Dwaraka. Maayandri finds out about the gifts and manages to steal Chutki's ring. Using dark magic, she conjures up an entire city to capture Krishna.",,,
0G9GBE423ANM79S308QG3D3XQD,Bal Hanuman III - Return Of The Demon,"Bal Hanuman, Rocket, Locket","International, Kids",Pankaj Sharma, All Ages Kids,Ba Hanuman Return Of The Demon is a wonderful devotional animated movie in Hindi. The crocodile demon is brought to life by his devil followers to create terror on the earth. The Demon King with his devil forces creates havoc on earth. How will Bal Hanuman defeat the demon.,,Shemaroo Entertainment Ltd,
0LTQT8W5D8ZGYU787OW1MGZWVF,Warrior Princess,,"Kids, International",Rajiv Chilaka, All Ages Kids,"A warrior princess from another world is hiding inside a massive lotus flower and accidentally gets exposed by Krishna Balram. Her cover thus destroyed, she is immediately tracked and attacked by her enemies who are on the lookout to eliminate her, as she is the last surviving rightful heir to the throne. Krishna and Balram take on the responsibility of protecting her.",,,
0M29ULRDAV49321P84BP5B8E6V,Zorro The Chronicles - Season 1,"NA, NA, NA",Kids,Oliver Lelardoux, All Ages Kids,"The masked fox returns to fight against injustice and evil, with his witty banter and his trademark swordsmanship. The Chronicles go back to basics as they focus on the original Zorro's qualities and his formative years. On his spectacular quest, we meet the villains plotting against him and his brave twin Ines and his best friend Bernardo who support Zorro through thick and thin",,Cyber Group Studios,
0MATG7VVMOXGFK2JCRRUOC34LN,The Amazing Zorro,"Cusse Mankuma, Mark Acheson",Kids,Scott Heming, All Ages Kids,"The exciting tale of Don Diego Vega, a lazy young aristocrat in early California living a secret life as Zorro, the mysterious masked avenger and defender of the oppressed.",,dhx_media,
0QFZGYGQ8BS0CHXR4ZGV74AZEL,Speed Racer - The Next Generation,"NA, NA, NA","International, Kids",Jay Surridge, All Ages Kids,"A young lad, Speed Jr., is starting his first year at an elite racing academy to become the best driver since Speed Racer Sr. and his brother, X, who are known for their skills and abilities on the track. Speed Sr, the father of the two, disappears for many years when he tries to create a gasless engine fearing that his enemies would harm his family. Will he return from his trip?",,Toonz Animation India Pvt Ltd,
0OJS9EQIOK158W9FBX7CVVKGF7,Mysteries and Feluda,,"Kids, International",Tapaas Chakravarti, All Ages Kids,Feluda is a private investigator. Feluda is often accompanied by his cousin Tapesh and the duo is joined by a popular thriller writer Jatayu.,,,
0MJC7OGUCBOUUUDJ6XUSSPQB7I,Inspector Gadget's Last Case,"Maurice Lamarche, Tina Bush",Kids,Pat Ventura, All Ages Kids,"Gadget is forced to say goodbye to his beloved but aging Gadgetmobile and accept a newer, younger replacement vehicle.",,dhx_media,
0QK8YENH3T4R1KV8K6JVG4HO4P,Speed Racer Movie,"NA, NA","International, Kids",Robert H 'Bob' Fuentes III, All Ages Kids,Speed has a time travelling Orb installed in his car by his father to prevent accidents. The car is struck by lightning during the race and is accidentally sent far to the future as the Orb faces a power surge. They travel to the future to find that their future selves are in prison for rebelling against the evil plans of Leland of making robots programmed to rule over the humans.,,Toonz Animation India Pvt Ltd,
0I5NRN9ATGT5V65DAEAYXEOGJW,Hard Hat Harry,,Kids,Lucius G. Tatum, All Ages Kids,"Join Hard Hat Harry, the loveable genie, and his young friends Darren and Amy for a journey into the exciting world of car care maintenance! Harry takes you on a thrilling, one-of-a-kind adventure! You'll see powerful hydraulic jacks lifting cars off the ground, gunning impact wrenches spinning lug nuts off and electronic analyzers testing roaring car motors in seconds!",,Total Content Digital,
0NLOLAU9S1G9W6RRZ0KEXOBVY5,Howzzattt,,"Sports, Kids, International",Renju Ramesh, All Ages Kids,"A group of cricket loving youngsters are forced to face challenges beyond their capabilities. Faced with the herculean task of defeating a cricket team owned by the cunning and horrid businessman, Thakral, the gang must either come out victorious or face dire consequences. With support from a few neighbours, watch these youngsters as they prepare for the game of their life.",,,
0GUQMLBH3LOOG3U2H7I48JTNMN,Treasure Island,"Allistair Abell, Gillian Barber",Kids,Will Meugniot, 7+ Older Kids,"The high-seas adventure tale of an orphaned boy, a mysterious map, a devilish island, buried treasure, and the peg-legged, parrot-toting, cut-throat of a pirate who befriends him.",,dhx_media,
0LTSGKHIDFM9LOZDEUISSCN978,Bal Hanuman IV - Attack Of The Universe,"Ashar Shah, Rajesh Shukla, Shanoor Mirza","International, Kids",Pankaj Sharma, All Ages Kids,"Being advised by Bal Hanuman in one of his secret meeting, Monkey Head Chhote Maharaj convinces his Lieutenants Rocket and Locket to play a Kabaddi match with crocodiles headed by Gutter and Shutter in order to end hostility and make peace in the area. But the crocodiles group want to make the Dreaded Danavraj alive with the help of their new allies, the Aliens.",,Shemaroo Entertainment Ltd,
0IZGGFILJYZ4YB665VY91QGACZ,Asterix & Cleopatra,"Roger Carel, Jacques Morel, Micheline Dax",Kids,Studio Belvision, All Ages Kids,"In Egypt, Cleopatra has made a bet with Caesar that her new summer home will be built within a number of weeks. To win the bet, she enlists the help of Astérix, Obelix and their Magic Potion.",,,
0Q38SBRONOPJ21YV7YA7PTSPZX,Hard Hat Harry,Anthony Paul,"Special Interest, Kids",Lucius G. Tatum, All Ages Kids,"Join Harry and his friends as they travel our streets and highways in search of all types of trucks doing all types of jobs: moving big cars, delivering drinks and gasoline, and more.",,Total Content Digital,
0IMNQ9CJNZLID5NM1LQ8B2NE8E,Tommy Zoom - Season 01,"Nathaniel Gleed, Jerome Flynn, Keith Wickham",Kids,"Graeme Hattrick, Roger McIntosh", 7+ Older Kids,Tommy Zoom and his dog Daniel join forces to save the Earth from the destructive Polluto and his cat Smogg.,,,
0IQXJY9G3BRIAWONAVXUL5RD6Y,Tintin & The Lake of Sharks,"Jacques Careuil, Georges Atlas, Jacques Balutin",Kids,Raymond Leblanc, All Ages Kids,Shark lake: headquarters for a worldwide art theft operation; Professor Calculus: experimenting with new technology by the lake; Tintin: on holidays in the Vicinity and Rastapopoulos behind it all; Will Calculus ever finish up? Will Tintin solve the mystery? Will the evil Rastapopoulos go free?,,,
0NPYKE64O8TVEUG9JNE064ZLFE,Asterix & the 12 tasks,"Roger Carel, Jacques Morel, Pierre Tornade",Kids,Studio Belvision, All Ages Kids,"Caesar offers the Gauls a deal; if they can perform twelve special tasks successfully, he will hand over the Roman empire to them. If the Gauls fail, they will have to surrender to the Roman Empire. Asterix (fortified by Magic Potion) is ready to take on the challenge.",,,
0N4NAWULH46JVKYFA5MWTQK0UQ,Tintin & The Prisoners of the Sun,"Colin O'Meara, Thierry Wermuth",Kids,Raymond Leblanc, All Ages Kids,"Darkest Peru, lost tribes, a temple of the Sun; Professor Calculus kidnapped, Captain Haddock, the Thompson twins and Tintin condemned to death; How will they escape? And will they survive? Have faith! Tintin always comes through!",,,
0JTAL7F4EQVO2X9RH6872SK6LR,Dennis the Menace,"Jeannie Elias, Phil Hartman",Kids,Michael Maliani, All Ages Kids,"Dennis is riding his bicycle with Ruff in the basket and accidentally knocks down Mr. Wilson. Poor ol' Mr. Wilson acquires a bad case of amnesia and can’t remember a thing, not even who he is.",,,
0JXK4MP52WJAPF44P44V4MSVMC,Dennis the Menace,"Jeannie Elias, Phil Hartman",Kids,Michael Maliani, All Ages Kids,"Mr. Thumplefin, Henry Mitchell's boss, arrives after a typical chaotic breakfast to tell Henry he has been promoted to District Manager of the office in Alaska!",,,
0MRUY0USLECTZ9RZ058ORZTT4R,Tintin & The Calculus Affair,"Colin O'Meara, Thierry Wermuth",Kids,Raymond Leblanc, All Ages Kids,"Mysterious events at Moulinsart! Exploding chandeliers, shattered glass, the mirror cracks; but Professsor Calculus is deep in nuclear physics and later in deep trouble! Kidnapped! Will Tintin and Haddock outwit the secret agents and find him? What is it all about? And where will it all end?",,,
0TVM2DWH8415VQ0ZBGHSO8L0KE,Dennis the Menace,Tom Arnold,Kids,Pat Ventura, All Ages Kids,"Mr. Wilson goes on a cruise to get away from Dennis, but Dennis and his friends and family come along.",,,
0LPHWUUF6NJRLQD559J9UAWG5W,Dinosaur Island,"Kim Carlson, Phillip Chen",Kids,Will Meugniot, All Ages Kids,"Four teens cast in a plot for a ""Survivor"" type TV series end on a hidden island-like mesa, deep in the South American jungle, on which dinosaurs and cavemen still live.",,,
0IE6NGFQS4GQ50K7GFBG6VXC7Z,Maherchi Maya,"Nanda Shinde, Milind Gavali, Madhu Kambikar",Kids,Satish Randive, All Ages Kids,"Maherchi Maya' is based upon the age-old legal issue of a daughter’s right to inheritance . It's the story of the bond between father and daughter, of people who want to get rich overnight, of a young woman who fights rampant superstitions with a modern, logical perspective.",,Pasaydan Chitra,
0L463MJLQHP94GH7R9U228PYLJ,Penelope K By The Way - Season 1,"Amanda Bishop, Raymond Crowe, Lusiana Belle Frost",Kids,Peter Cudlipp, All Ages Kids,"Penelope K in each episode is asked a general knowledge question by a child, which she answers by researching the contents and talking to characters inhabiting her Information Station.",,,
0FFKD60FSV2NOA3PGWQFXI60BE,Chhota Bheem Aur Mayavi Gorgan,,"Kids, International","Rajiv Chilaka, Sidheswar Shukla", All Ages Kids,"As Dholakpur's court is in progress, a messenger from Gorgan arrives with a message that their Prince wishes to meet with King Indravarma. Some mysterious goblin forces destroy their city each night, restoring it in the morning. Bheem and friends agree to help and leave for Gorgan. Bheem decides that to rid the city of the curse, they must fight the goblins.",,,
0TZV1M1Z73VARG4HCZPN1VKOG1,Chhota Bheem Aur Chhalchhaaya,,"International, Kids",Binayak Das, All Ages Kids,"The kids decide to meet Dhuni Baba. The spot is a magical portal from which King Vyom of a magical world named Dhwani arrives. As he was strolling in the forest, his astra is stolen. The thief, CHHAL-CHHAAYA, a powerful egoistic hermit is a shape shifter. Vyom threatens to destroy earth if his astra is not returned to him by the end of the day.",,,
0F71GHW0FNN9G8SQNBHLCL0BYS,African Safari,,"International, Kids",Binayak Das, All Ages Kids,"The kids visit Africa to see how the tribals live in harmony with nature. But when they reach, they see that the place has been taken over by the chieftain Hatari. Persistent drought is just one effect of his magical powers. Bheem realizes that they must first address the evil magic.",,,
0L468K65SQ2YBG5RB6O8HRFO6L,Trayodash Ki Kahaani,,"International, Kids","Krishna Mohan Chintapatla, Rajiv Chilaka", All Ages Kids,Bheem and his gang of friends decide to fight against the evil prince of Zahola and his Black Horse.,,,
0FJTTIVX9NR7X4PW2MQ0P25DKL,Chhota Bheem Dus pe Dus,,"International, Kids","Owll Mina, Rajiv Chilaka", All Ages Kids,"Bheem suffers a humiliating defeat in Kerala. A rare temple stone is stolen during his watch and the thief easily defeats Bheem and slips away. Bheem vows to reinstate the stone and capture the thief. He gets geared up and starts training in the martial art form, Kalariyapattu.",,,
0PM5ALKPKB327R1BHB2TD30GWY,Chhota Bheem Paanch Ajoobe,,"International, Kids","Binayak Das, Rajiv Chilaka", All Ages Kids,"Dhuni Baba wakes up with a start and pulls out an old staff. He grows nostalgic and remembers his master holding the same staff and teaching five other students. They all learnt yoga and martial arts from this master. Seven guys learn different martial arts while Dhuni Baba has an understanding of all. He abruptly and exclaims, 'They martial warriors are coming!'",,,
0KZWN1VSN3ZAJQDMTDY5J9UE61,Chhota Bheem And The ShiNobi Secret,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Prof. Dhoomketu is trying to build a new machine based on how a volcano works. Dholu and Bholu mess around which gives Kalia a new 'smoking' hairdo. As Bheem and Chutki try to restore the machine, Indumati arrives in with Bheem's Samurai friend Sam.",,,
0KELB1M05VOW0UUQP7B02SNVES,Chhota Bheem Mission Mangalyaan,,"International, Kids",Binayak Das, All Ages Kids,"There is a mishap in a science lab which is solved with Bheem’s help. But there is a full moon festival the following night and the sky remains pitch dark, with no signs of the moon’s rise. The earth’s moon is pulled towards Mars and people on Earth are scared. With the help of Avi Chacha and Prof. Dhoomketu, the kids travel to Mars to solve the issue.",,,
0O2QDI7VLH3FD2YXIVRPICF3QO,Dholakpur to Kathmandu,,"International, Kids",Rajiv Chilaka, All Ages Kids,"Chhota Bheem travels to Kathmandu, Nepal in order to rescue Migo, a yeti cub. For this, he must fight the evil Snow Leopard Clan in the snow-clad mountains of Nepal and bring the cub to his father.",,,
0GHXLQ3EPACZJORB64DS0YCQ2K,Foto,"Naseeruddin Shah, Sameer Gupta, Shreya Jha","Kids, International",Virendra Saini, All Ages Kids,"Imaginative eleven-year-old Foto, is disinterested in his subjects at school and prefers to build vivid scenes of the everyday events around him. One day, a film unit comes to his hilly town for a movie shoot. Foto is mesmerized to see the 'magicians' create rain and lightening, image and colour, and sound and music at their will. He finds a way to channel his active imagination.",,"Children's Film Society, India",
0M6J63BDJFPAJ5HX6X30A0HML2,Super Hero School,,"Kids, International","Rajiv Chilka, Rosauro B Adorable", All Ages Kids,"Mighty Raju is selected to be trained at the Superhero School where superheroes from around the galaxy will be present. But much to his surprise, he is almost at the bottom of the class as other superhero students from around the galaxy have unbelievable super powers.",,,
0SOZ2E7RW7U21ZUSWY7VLEMMM6,Chhota Bheem And The Broken Amulet,,"Kids, International",Rajiv Chilaka, All Ages Kids,"The kingdom of Africa is captured by Girboro. Unaware of this, Bheem and his friends are enjoying Indhumati's birthday party in his village. Right then, Durhe comes and snatches an amulet from the Maharaja's hand and tries to escape, but in vain.",,,
0IMOAU0SC8SZT26Q26AM29WM82,Super Bheem Kirmada Ki Wapasi,"Sonal Kaushal (Voice), Rupa Bhimani (Voice), Julie Tejwani (Voice)","International, Kids",Krishna Mohan, All Ages Kids,Super Bheem fights extraordinarily powerful Kirmada who is on a spree taking over planets one by one wiping down civilizations. Watch how Super Bheem out smarts Kirmada and thwarts his evil intentions of becoming the most powerful.,,,
0RV4VULP41GBWOMB2JL5HJAJ46,Journey to Petra,,"International, Kids",Rijaiv Chilaka, All Ages Kids,Chhota Bheem embarks on an adventurous journey to Petra where he takes part in an annual sports competition and beats a dacoit named Dark Hands. He subsequently rescues two beautiful princesses.,,,
0KABUQYHRYKUC50SXRAWXO0U4M,Chhota Bheem Neeli Pahaadi,,"International, Kids",Rajiv Chilaka, All Ages Kids,"The kids are excited, as they have all planned a trip to the Neeli Pahadi right on the borders of Dholakpur. The Neeli Pahadi has always been an uneasy reality of Dholakpur with rumours of ghostly inhabitants and a mysterious past which goes back right to the days when the kingdom of Dholakpur was established.",,,
0FFKDF6RO3A123KGG4OOOIT536,Babula (Dost),"Swastik, Debu Bramha, Anita Das","Kids, International",Sadhu Meher, All Ages Kids,This movie portrays the innocence and the compassionate nature of young children. A young boy Babula befriends an alien being and brings it home. Babula and the alien develop a loving bond and are affectionate towards each other. Things get worse when Babula's parents discover the presence of the alien being. It is now up to Babula to protect the alien being from his petrified parents.,,"Children's Film Society, India",
0TITC5CGDVSINB33GG9XQP2KKS,Hari Puttar,"Jackie Shroff, Sarika, Saurabh Shukla","Kids, Comedy, International","Lucky Kohli, Rajesh Bajaj", All Ages Kids,"Hari, a lonely boy, is accidentally left behind when his family goes on a vacation. He embarks on an adventurous journey and foils the plan of two burglars who want to steal a top secret chip.",,,
0I5LROAIGKBXO0NEBSR52ZRTQ5,Ek Ajooba,"Amrish Puri, Meghna Erande, Harsh Lunia","International, Kids",Sunil Adwani, All Ages Kids,"When Chitra fails to come first in her class despite studying hard, Guruji, the family friend, gives her some holy ash saying that it will help achieve her goals. Her younger brother Ratan and his friend, soon realise the power of the magic ash and conspire to steal it from Chitra. Will the magic ash prove to be lucky or unlucky for Ratan?",,,
0O2QF1O2RSXJT9SOJLWQCT61PN,Chota Chetan,"Urmila Matondkar, Dalip Tahil, Satish Kaushik","International, Kids",Jijo Punnoose, All Ages Kids,"The Bollywood version of India's first 3d film about a noble soul with substantial powers. A powerful and evil magician, Jamura, had kept a noble soul, Chetan, in bondage for years. 3 children accidentally release Chetan from Jamura's captivity, thus embarking on a magical journey filled with joys and happiness. But when Jamura realises his prisoner has escaped he will not standby and do nothing.",,,
0GQGCOHU64MOHRWEV36RTC2RFG,Chota Jadugar,"Sooraj Balaji, Balasubramaniam S.P., Julian Carey","Kids, International",Jose Punnoose, All Ages Kids,"Indrajit adores his grandfather, Acharya, who helps him in mastering the magic tricks that are the heritage of his family. His father, Krishna, lives in the United States of America. When Indrajit is separated from Acharya by his father, he runs away. The grandfather uses his magic to find Indrajit and finds that he has been abducted. Will he be able to rescue his grandson ?",,Navodaya,
